unix_timestamp,temperature
1736211699655487,31.9140625
1736211700655489,31.9296875
1736211701655490,31.9140625
1736211702655492,31.9296875
1736211703655494,31.9375
1736211704655495,31.9453125
1736211705655497,31.9375
1736211706655498,31.9375
1736211707655500,31.953125
1736211708655502,31.9453125
1736211709655503,31.9453125
1736211710655505,31.953125
1736211711655506,31.953125
1736211712655508,31.953125
1736211713655510,31.9453125
1736211714655511,31.9609375
1736211715655513,31.953125
1736211716655514,31.953125
1736211717655516,31.9375
1736211718655518,31.9375
1736211719655519,31.9609375
1736211720655521,31.953125
1736211721655522,31.9609375
1736211722655524,31.96875
1736211723655526,31.9375
1736211724655527,31.9765625
1736211725655529,31.9765625
1736211726655530,31.9609375
1736211727655532,31.9609375
1736211728655534,31.9921875
1736211729655536,31.9765625
1736211730655537,31.984375
1736211731655538,31.984375
1736211732655540,31.9921875
1736211733655542,32.0
1736211734655544,32.0
1736211735655545,31.9765625
1736211736655547,31.9921875
1736211737655548,31.9921875
1736211738655550,32.0078125
1736211739655552,32.0078125
1736211740655553,31.9921875
1736211741655555,32.0
1736211742655556,32.0078125
1736211743655558,32.0078125
1736211744655560,32.0078125
1736211745655561,32.015625
1736211746655563,32.0
1736211747655564,32.015625
1736211748655566,32.03125
1736211749655568,32.0390625
1736211750655569,32.03125
1736211751655571,32.015625
1736211752655572,32.0234375
1736211753655574,32.0234375
1736211754655576,32.015625
1736211755655577,32.03125
1736211756655579,32.03125
1736211757655580,32.015625
1736211758655582,32.0234375
1736211759655584,32.0390625
1736211760655585,32.0234375
1736211761655587,32.046875
1736211762655588,32.0546875
1736211763655590,32.0625
1736211764655592,32.046875
1736211765655593,32.0546875
1736211766655595,32.0390625
1736211767655596,32.0546875
1736211768655598,32.046875
1736211769655600,32.0546875
1736211770655601,32.0625
1736211771655603,32.0703125
1736211772655604,32.0703125
1736211773655606,32.0625
1736211774655608,32.0703125
1736211775655610,32.078125
1736211776655611,32.078125
1736211777655613,32.0703125
1736211778655614,32.0859375
1736211779655616,32.0703125
1736211780655618,32.078125
1736211781655619,32.0859375
1736211782655621,32.09375
1736211783655622,32.0703125
1736211784655624,32.0859375
1736211785655626,32.09375
1736211786655627,32.09375
1736211787655629,32.09375
1736211788655630,32.0703125
1736211789655632,32.09375
1736211790655634,32.1015625
1736211791655635,32.0703125
1736211792655637,32.0859375
1736211793655638,32.09375
1736211794655640,32.09375
1736211795655642,32.109375
1736211796655643,32.09375
1736211797655645,32.09375
1736211798655646,32.1015625
1736211799655648,32.1015625
1736211800655650,32.109375
1736211801655651,32.1015625
1736211802655653,32.109375
1736211803655654,32.1015625
1736211804655656,32.1171875
1736211805655658,32.1015625
1736211806655659,32.1171875
1736211807655661,32.1015625
1736211808655662,32.109375
1736211809655664,32.1171875
1736211810655666,32.109375
1736211811655667,32.109375
1736211812655669,32.1171875
1736211813655670,32.1171875
1736211814655672,32.109375
1736211815655674,32.1171875
1736211816655676,32.1171875
1736211817655677,32.1171875
1736211818655678,32.1171875
1736211819655680,32.1328125
1736211820655682,32.1171875
1736211821655684,32.1171875
1736211822655685,32.125
1736211823655687,32.140625
1736211824655688,32.1328125
1736211825655690,32.140625
1736211826655692,32.1171875
1736211827655693,32.1328125
1736211828655695,32.140625
1736211829655696,32.140625
1736211830655698,32.1328125
1736211831655700,32.1328125
1736211832655701,32.1328125
1736211833655703,32.140625
1736211834655704,32.1328125
1736211835655706,32.1171875
1736211836655708,32.1328125
1736211837655709,32.125
1736211838655711,32.140625
1736211839655712,32.1328125
1736211840655714,32.140625
1736211841655716,32.1328125
1736211842655717,32.140625
1736211843655719,32.140625
1736211844655720,32.1328125
1736211845655722,32.140625
1736211846655724,32.140625
1736211847655725,32.140625
1736211848655727,32.140625
1736211849655728,32.1484375
1736211850655730,32.1484375
1736211851655732,32.1484375
1736211852655733,32.1484375
1736211853655735,32.140625
1736211854655736,32.1484375
1736211855655738,32.15625
1736211856655740,32.1484375
1736211857655741,32.1484375
1736211858655743,32.1484375
1736211859655744,32.1640625
1736211860655746,32.140625
1736211861655748,32.1640625
1736211862655750,32.15625
1736211863655751,32.1640625
1736211864655753,32.15625
1736211865655754,32.1640625
1736211866655756,32.1640625
1736211867655758,32.1640625
1736211868655759,32.1640625
1736211869655761,32.1640625
1736211870655762,32.15625
1736211871655764,32.15625
1736211872655766,32.1796875
1736211873655767,32.1640625
1736211874655769,32.171875
1736211875655770,32.1640625
1736211876655772,32.1640625
1736211877655774,32.1640625
1736211878655775,32.171875
1736211879655777,32.171875
1736211880655778,32.1796875
1736211881655780,32.15625
1736211882655782,32.171875
1736211883655783,32.171875
1736211884655785,32.171875
1736211885655786,32.1875
1736211886655788,32.171875
1736211887655790,32.171875
1736211888655791,32.171875
1736211889655793,32.1796875
1736211890655794,32.1875
1736211891655796,32.1640625
1736211892655798,32.1875
1736211893655799,32.1796875
1736211894655801,32.1796875
1736211895655802,32.171875
1736211896655804,32.1875
1736211897655806,32.171875
1736211898655807,32.1953125
1736211899655809,32.1796875
1736211900655810,32.1875
1736211901655812,32.1796875
1736211902655814,32.1796875
1736211903655816,32.1953125
1736211904655817,32.1875
1736211905655818,32.1796875
1736211906655820,32.1875
1736211907655822,32.1796875
1736211908655824,32.1484375
1736211909655825,32.1796875
1736211910655827,32.171875
1736211911655828,32.1875
1736211912655830,32.1875
1736211913655832,32.1953125
1736211914655833,32.1875
1736211915655835,32.1875
1736211916655836,32.171875
1736211917655838,32.1953125
1736211918655840,32.1796875
1736211919655841,32.203125
1736211920655843,32.1875
1736211921655844,32.1875
1736211922655846,32.203125
1736211923655848,32.203125
1736211924655849,32.203125
1736211925655851,32.1953125
1736211926655852,32.1953125
1736211927655854,32.2109375
1736211928655856,32.2109375
1736211929655857,32.2109375
1736211930655859,32.2109375
1736211931655860,32.203125
1736211932655862,32.21875
1736211933655864,32.21875
1736211934655865,32.2109375
1736211935655867,32.2265625
1736211936655868,32.21875
1736211937655870,32.2265625
1736211938655872,32.21875
1736211939655873,32.21875
1736211940655875,32.21875
1736211941655876,32.2265625
1736211942655878,32.21875
1736211943655880,32.21875
1736211944655882,32.2265625
1736211945655883,32.2265625
1736211946655884,32.21875
1736211947655886,32.2421875
1736211948655888,32.2265625
1736211949655890,32.21875
1736211950655891,32.234375
1736211951655893,32.21875
1736211952655894,32.2421875
1736211953655896,32.234375
1736211954655898,32.2421875
1736211955655899,32.2265625
1736211956655901,32.2421875
1736211957655902,32.2578125
1736211958655904,32.234375
1736211959655906,32.25
1736211960655907,32.2421875
1736211961655909,32.2421875
1736211962655910,32.25
1736211963655912,32.25
1736211964655914,32.25
1736211965655915,32.25
1736211966655917,32.2421875
1736211967655918,32.2578125
1736211968655920,32.2578125
1736211969655922,32.25
1736211970655923,32.2578125
1736211971655925,32.2421875
1736211972655926,32.265625
1736211973655928,32.2578125
1736211974655930,32.2578125
1736211975655931,32.265625
1736211976655933,32.265625
1736211977655934,32.2578125
1736211978655936,32.2578125
1736211979655938,32.265625
1736211980655939,32.25
1736211981655941,32.25
1736211982655942,32.2578125
1736211983655944,32.265625
1736211984655946,32.25
1736211985655947,32.2734375
1736211986655949,32.265625
1736211987655950,32.234375
1736211988655952,32.265625
1736211989655954,32.2734375
1736211990655956,32.234375
1736211991655957,32.2578125
1736211992655959,32.265625
1736211993655960,32.2578125
1736211994655962,32.28125
1736211995655964,32.265625
1736211996655965,32.265625
1736211997655967,32.2578125
1736211998655968,32.2578125
1736211999655970,32.265625
1736212000655972,32.2734375
1736212001655973,32.2734375
1736212002655975,32.28125
1736212003655976,32.28125
1736212004655978,32.2578125
1736212005655980,32.28125
1736212006655981,32.2734375
1736212007655983,32.2734375
1736212008655984,32.2734375
1736212009655986,32.28125
1736212010655988,32.2734375
1736212011655989,32.2734375
1736212012655991,32.28125
1736212013655992,32.2734375
1736212014655994,32.28125
1736212015655996,32.296875
1736212016655997,32.2890625
1736212017655999,32.28125
1736212018656000,32.265625
1736212019656002,32.28125
1736212020656004,32.2734375
1736212021656005,32.2734375
1736212022656007,32.28125
1736212023656008,32.296875
1736212024656010,32.265625
1736212025656012,32.2734375
1736212026656013,32.28125
1736212027656015,32.28125
1736212028656016,32.2734375
1736212029656018,32.2734375
1736212030656020,32.2734375
1736212031656022,32.3046875
1736212032656023,32.28125
1736212033656024,32.28125
1736212034656026,32.2890625
1736212035656028,32.2890625
1736212036656030,32.2890625
1736212037656031,32.28125
1736212038656033,32.2890625
1736212039656034,32.2890625
1736212040656036,32.296875
1736212041656038,32.28125
1736212042656039,32.2890625
1736212043656041,32.28125
1736212044656042,32.28125
1736212045656044,32.28125
1736212046656046,32.2890625
1736212047656047,32.2890625
1736212048656049,32.2890625
1736212049656050,32.296875
1736212050656052,32.2890625
1736212051656054,32.2890625
1736212052656055,32.2734375
1736212053656057,32.2890625
1736212054656058,32.28125
1736212055656060,32.2734375
1736212056656062,32.2890625
1736212057656063,32.296875
1736212058656065,32.2734375
1736212059656066,32.28125
1736212060656068,32.2890625
1736212061656070,32.28125
1736212062656071,32.2890625
1736212063656073,32.2890625
1736212064656074,32.2890625
1736212065656076,32.2890625
1736212066656078,32.3046875
1736212067656079,32.296875
1736212068656081,32.296875
1736212069656082,32.296875
1736212070656084,32.3046875
1736212071656086,32.296875
1736212072656088,32.296875
1736212073656089,32.296875
1736212074656090,32.296875
1736212075656092,32.296875
1736212076656094,32.3046875
1736212077656096,32.2890625
1736212078656097,32.2890625
1736212079656099,32.3046875
1736212080656100,32.296875
1736212081656102,32.296875
1736212082656104,32.3046875
1736212083656105,32.296875
1736212084656107,32.3046875
1736212085656108,32.28125
1736212086656110,32.3125
1736212087656112,32.3046875
1736212088656113,32.3125
1736212089656115,32.296875
1736212090656116,32.3046875
1736212091656118,32.3046875
1736212092656120,32.3046875
1736212093656121,32.3203125
1736212094656123,32.3125
1736212095656124,32.3125
1736212096656126,32.3125
1736212097656128,32.3125
1736212098656129,32.3203125
1736212099656131,32.3125
1736212100656132,32.3125
1736212101656134,32.3203125
1736212102656136,32.3125
1736212103656137,32.3359375
1736212104656139,32.3203125
1736212105656140,32.328125
1736212106656142,32.328125
1736212107656144,32.328125
1736212108656145,32.328125
1736212109656147,32.34375
1736212110656148,32.3359375
1736212111656150,32.328125
1736212112656152,32.3203125
1736212113656153,32.3203125
1736212114656155,32.3359375
1736212115656156,32.3203125
1736212116656158,32.3359375
1736212117656160,32.34375
1736212118656162,32.3203125
1736212119656163,32.3359375
1736212120656165,32.3359375
1736212121656166,32.34375
1736212122656168,32.3203125
1736212123656170,32.34375
1736212124656171,32.3359375
1736212125656173,32.3359375
1736212126656174,32.3359375
1736212127656176,32.34375
1736212128656178,32.3515625
1736212129656179,32.3359375
1736212130656181,32.3359375
1736212131656182,32.3359375
1736212132656184,32.3515625
1736212133656186,32.34375
1736212134656187,32.359375
1736212135656189,32.3359375
1736212136656190,32.328125
1736212137656192,32.3359375
1736212138656194,32.3671875
1736212139656195,32.3515625
1736212140656197,32.3515625
1736212141656198,32.3515625
1736212142656200,32.34375
1736212143656202,32.3671875
1736212144656203,32.375
1736212145656205,32.359375
1736212146656206,32.359375
1736212147656208,32.3671875
1736212148656210,32.34375
1736212149656211,32.3359375
1736212150656213,32.3515625
1736212151656214,32.3515625
1736212152656216,32.3515625
1736212153656218,32.359375
1736212154656219,32.3671875
1736212155656221,32.359375
1736212156656222,32.375
1736212157656224,32.375
1736212158656226,32.359375
1736212159656228,32.3671875
1736212160656229,32.3671875
1736212161656230,32.375
1736212162656232,32.375
1736212163656234,32.3671875
1736212164656236,32.375
1736212165656237,32.3828125
1736212166656239,32.375
1736212167656240,32.3828125
1736212168656242,32.3828125
1736212169656244,32.3828125
1736212170656245,32.3671875
1736212171656247,32.375
1736212172656248,32.375
1736212173656250,32.390625
1736212174656252,32.375
1736212175656253,32.3828125
1736212176656255,32.375
1736212177656256,32.3828125
1736212178656258,32.3828125
1736212179656260,32.3828125
1736212180656261,32.3828125
1736212181656263,32.3828125
1736212182656264,32.390625
1736212183656266,32.3984375
1736212184656268,32.375
1736212185656269,32.3671875
1736212186656271,32.3828125
1736212187656272,32.390625
1736212188656274,32.390625
1736212189656276,32.3984375
1736212190656277,32.3984375
1736212191656279,32.40625
1736212192656280,32.3984375
1736212193656282,32.3984375
1736212194656284,32.3984375
1736212195656285,32.4140625
1736212196656287,32.3984375
1736212197656288,32.40625
1736212198656290,32.40625
1736212199656292,32.4140625
1736212200656293,32.3984375
1736212201656295,32.40625
1736212202656296,32.40625
1736212203656298,32.40625
1736212204656300,32.421875
1736212205656302,32.40625
1736212206656303,32.4140625
1736212207656305,32.4140625
1736212208656306,32.4140625
1736212209656308,32.4140625
1736212210656310,32.4140625
1736212211656311,32.421875
1736212212656313,32.421875
1736212213656314,32.4140625
1736212214656316,32.421875
1736212215656318,32.4296875
1736212216656319,32.421875
1736212217656321,32.421875
1736212218656322,32.4140625
1736212219656324,32.4296875
1736212220656326,32.421875
1736212221656327,32.421875
1736212222656329,32.4375
1736212223656330,32.4375
1736212224656332,32.4375
1736212225656334,32.4453125
1736212226656335,32.4375
1736212227656337,32.4375
1736212228656338,32.4453125
1736212229656340,32.4453125
1736212230656342,32.4453125
1736212231656343,32.4296875
1736212232656345,32.4296875
1736212233656346,32.4140625
1736212234656348,32.4375
1736212235656350,32.4453125
1736212236656351,32.4296875
1736212237656353,32.453125
1736212238656354,32.4375
1736212239656356,32.4453125
1736212240656358,32.4453125
1736212241656359,32.4453125
1736212242656361,32.4375
1736212243656362,32.4375
1736212244656364,32.4609375
1736212245656366,32.4453125
1736212246656368,32.4375
1736212247656369,32.4375
1736212248656370,32.4375
1736212249656372,32.4375
1736212250656374,32.4296875
1736212251656376,32.4375
1736212252656377,32.4609375
1736212253656379,32.4375
1736212254656380,32.421875
1736212255656382,32.4453125
1736212256656384,32.4453125
1736212257656385,32.421875
1736212258656387,32.4609375
1736212259656388,32.453125
1736212260656390,32.4296875
1736212261656392,32.453125
1736212262656393,32.453125
1736212263656395,32.4453125
1736212264656396,32.4453125
1736212265656398,32.453125
1736212266656400,32.453125
1736212267656401,32.4453125
1736212268656403,32.4453125
1736212269656404,32.4375
1736212270656406,32.4453125
1736212271656408,32.4609375
1736212272656409,32.4609375
1736212273656411,32.4609375
1736212274656412,32.453125
1736212275656414,32.4609375
1736212276656416,32.4453125
1736212277656417,32.4609375
1736212278656419,32.4609375
1736212279656420,32.4609375
1736212280656422,32.453125
1736212281656424,32.4609375
1736212282656425,32.4453125
1736212283656427,32.46875
1736212284656428,32.453125
1736212285656430,32.4453125
1736212286656432,32.4453125
1736212287656434,32.4609375
1736212288656435,32.4296875
1736212289656436,32.453125
1736212290656438,32.453125
1736212291656440,32.4453125
